id,employee_code,job_title,gender,current_age,retirement_age,hire_date,years_at_company,year_at_company_calc,education_level_id,department_id,employee_status_id
fcec0839-fc31-408b-bcea-9296b5878d17,1,Specialist,Male,55,60,2022-01-19,2,4,dfef9b1b-185b-4044-ae63-5d7f1793ec39,0770860a-2b58-4f69-aa68-d0cc7d7d3012,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
83be5d6b-213b-4907-b051-879c9e760430,2,Developer,Male,29,60,2024-04-18,0,2,dfef9b1b-185b-4044-ae63-5d7f1793ec39,8e67a935-d9f0-4577-90b5-d0d0fa2f4bab,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
0a3cc564-54a4-4e53-a991-02b0f7e42712,3,Specialist,Male,55,60,2015-10-26,8,11,dfef9b1b-185b-4044-ae63-5d7f1793ec39,8e67a935-d9f0-4577-90b5-d0d0fa2f4bab,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
abdd5f0f-b643-4d6b-b5ab-8c61bd1d6490,4,Analyst,Female,48,60,2016-10-22,7,10,9575c642-ebcf-4bc7-9ae9-67805baa4173,16150621-7cec-4b0b-9778-0f3ff2ae42e1,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
6b722297-7cca-4aa2-8688-f4b8616c5f85,5,Analyst,Female,36,60,2021-07-23,3,5,9575c642-ebcf-4bc7-9ae9-67805baa4173,1045f474-caec-4cf8-9cb3-f6ff4481e6f4,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
2d92d30e-9691-4968-b9ab-fca01ecf685f,6,Manager,Male,43,60,2016-08-14,8,10,dfef9b1b-185b-4044-ae63-5d7f1793ec39,0770860a-2b58-4f69-aa68-d0cc7d7d3012,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
5508a4e3-05d3-4af2-bd11-dfea60b213d3,7,Technician,Male,37,60,2023-08-28,1,3,9575c642-ebcf-4bc7-9ae9-67805baa4173,0770860a-2b58-4f69-aa68-d0cc7d7d3012,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
37d55461-50eb-462f-be08-acb5b972aca4,8,Engineer,Female,55,60,2014-10-27,9,12,9575c642-ebcf-4bc7-9ae9-67805baa4173,1045f474-caec-4cf8-9cb3-f6ff4481e6f4,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
a5258c4d-75b1-4d56-811f-058426b24733,9,Technician,Female,55,60,2023-06-29,1,3,dfef9b1b-185b-4044-ae63-5d7f1793ec39,1a9e7efd-d15b-48db-b9eb-350930cfcf82,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
3d87cf9f-fab7-4654-8e8b-4c71b8bee934,10,Consultant,Female,45,60,2016-12-23,7,10,9575c642-ebcf-4bc7-9ae9-67805baa4173,1045f474-caec-4cf8-9cb3-f6ff4481e6f4,6d0e2af7-52bb-4fe7-a2b2-27a9caf9a238
